SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018
040,1,1,33,New Hampshire,1316464,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,313,3038,4147,2446,6815,3071,6079,7394,6691,0.0237758116,0.2307148439,0.3142107038,0.1847485049,0.5137936442,0.230344061,0.4549148615,0.5508156079,0.4957151864,42,42,42,42,42,41,41,41,41,41,48,46,47,46,40,40,35,34,36,47,43,38,41,27,34,23,21,23
040,1,2,34,New Jersey,8791962,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,7662,28159,17700,12879,8418,4089,3647,14027,19977,0.0871477834,0.3200023092,0.2005033427,0.1455997372,0.0950288552,0.0461159519,0.041112094,0.158059324,0.2247499956,11,11,11,11,11,11,11,11,11,11,21,21,23,34,35,38,38,25,21,40,37,41,44,42,40,43,35,36
040,4,8,35,New Mexico,2059180,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,5408,15807,7154,5243,-2450,-131,2578,606,2033,0.2626288134,0.7656249092,0.3438770041,0.2511557813,-0.11706849,-0.006266917,0.1233368306,0.0289565742,0.0971149735,36,36,36,36,36,36,36,36,36,36,27,26,42,44,49,45,40,41,39,12,21,35,39,49,45,39,41,40
040,1,2,36,New York,19378124,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,21956,98434,76035,53494,28287,5081,-19822,-50870,-48510,0.1133030215,0.5073896602,0.3899527933,0.2732834355,0.1441152335,0.0258491794,-0.100816773,-0.258991266,-0.247617252,3,3,3,3,3,4,4,4,4,4,7,4,8,10,18,36,50,51,51,36,30,32,37,40,41,46,47,47
040,3,5,37,North Carolina,9535736,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,38557,82461,92369,94476,90345,99135,123600,114121,112820,0.4043421504,0.8612750832,0.9565222434,0.9690717821,0.917804555,0.9979420057,1.2319249156,1.123605462,1.0984538692,10,10,10,10,10,9,9,9,9,9,4,6,5,4,6,8,6,5,5,4,16,17,16,15,14,12,14,10
040,2,4,38,North Dakota,672576,674710,685136,701116,721999,737382,754022,754353,755176,760077,2134,10426,15980,20883,15383,16640,331,823,4901,0.317287563,1.5452564806,2.3323836435,2.9785370752,2.1306123693,2.2566322476,0.0438979234,0.1091001163,0.6489877856,48,48,48,48,48,47,47,47,47,47,40,36,28,23,27,21,43,40,37,7,3,2,1,1,1,42,38,19
040,2,3,39,Ohio,11536757,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,2570,4136,4906,28207,26397,14877,17153,29126,25313,0.0222766242,0.0358426449,0.0425002445,0.2442509414,0.2280207896,0.1282171388,0.1476434969,0.2503308336,0.2170157755,7,7,7,7,7,7,7,7,7,7,38,44,46,20,19,23,21,18,19,48,50,48,40,36,39,38,32,37
040,3,7,40,Oklahoma,3751583,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,8049,28189,30779,34605,25162,31464,16938,5871,10439,0.2145494315,0.7497808296,0.8125779967,0.9062221757,0.6530148279,0.8112692791,0.4332156556,0.1495122326,0.2654450954,28,28,28,28,28,28,28,28,28,28,20,20,18,17,21,16,22,36,31,20,22,22,19,24,18,25,36,33
040,4,9,41,Oregon,3831075,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,6457,34196,27390,23790,41198,52812,74486,55188,44121,0.1685427719,0.8910935466,0.7074360596,0.6101379851,1.050190318,1.3322549902,1.8543072077,1.3488768159,1.0640304134,27,27,27,27,27,27,27,27,27,27,24,17,19,21,14,10,9,12,14,28,14,25,28,12,11,4,9,11
040,1,2,42,Pennsylvania,12702873,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,8285,33425,22244,9794,12480,-3342,-2221,6909,16613,0.065221466,0.2629579461,0.1745368993,0.0767144413,0.0976784081,-0.026131626,-0.017370889,0.0540460708,0.1298860001,6,6,6,6,6,6,6,6,5,5,19,18,21,37,30,48,47,35,25,45,40,44,46,41,46,45,39,39
